,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1571,300076,GQY视讯,-0.04,,,-1.82,,-1880.27,3773.61,,04-27
1572,000989,九芝堂,0.15,-10.0,,3.16,,13297.61,1.39,,04-27
1573,600990,四创电子,0.01,-7.94,,0.07,,79.86,-7.74,,04-27
1574,300398,飞凯材料,0.04,-76.47,,1.87,,1473.48,-14.19,,04-27
1575,002311,海大集团,0.04,33.33,,1.02,,5781.47,47.45,,04-27
1576,600604,市北高新,-0.02,-155.7,,-0.27,,-1550.96,-168.48,,04-27
1577,300108,双龙股份,0.05,-28.4,,1.82,,3319.94,7.46,,04-27
1613,002417,三元达,0.02,-118.18,,1.21,,415.06,-114.49,,04-27
1614,600333,长春燃气,0.03,-25.0,,1.14,,1843.69,-16.72,,04-27
1615,300199,翰宇药业,0.09,29.59,,2.15,,7845.84,33.86,,04-27
1616,002759,天际股份,0.18,-0.28,,2.4,,8116.89,377.11,,04-27
1617,002128,露天煤业,0.43,186.67,,7.09,,70291.09,181.94,,04-27
1618,300539,横河模具,0.11,10.0,,2.81,,1005.96,35.5,,04-27
1619,300231,银信科技,0.05,18.18,,2.92,,1826.98,20.44,,04-27
1620,600016,民生银行,0.39,2.63,9.51,4.18,-1.2,1419900.0,3.6,,04-27
1621,300556,丝路视觉,-0.21,-0.0,,-5.83,,-2334.41,35.59,,04-27
1622,603969,银龙股份,0.08,700.0,,1.99,,3201.78,448.48,,04-27
1623,300247,乐金健康,0.02,-8.3,,0.7,,1642.43,99.62,,04-27
1624,002160,常铝股份,0.03,277.5,,0.69,,2213.12,310.91,,04-27
1625,002481,双塔食品,0.02,-50.62,,1.11,,2914.31,-43.09,,04-27
1626,002176,江特电机,0.03,7.14,,1.21,,4535.77,23.52,,04-27
1627,603017,中衡设计,0.07,-49.54,,1.14,,1777.7,9.76,,04-27
1628,300590,移为通信,0.22,-15.36,,3.05,,1728.24,12.85,,04-27
1629,603035,常熟汽饰,0.2,-16.67,,2.71,,5715.23,12.59,,04-27
1630,600078,澄星股份,0.02,3.55,,0.63,,1160.76,3.93,,04-27
1631,600488,天药股份,0.01,-35.29,,0.41,,1014.88,-36.01,,04-27
1632,002863,今飞凯达,0.09,12.5,,2.39,,1426.22,3.57,,04-27
1633,002224,三力士,0.05,25.0,,1.97,,3176.18,32.31,,04-27
1634,002546,新联电子,0.02,-42.86,,0.67,,1917.8,-21.84,,04-27
1635,000153,丰原药业,0.03,44.23,,0.81,,936.87,44.12,,04-27
1636,300005,探路者,0.08,-39.51,,1.8,,5021.06,-30.06,,04-27
1637,300327,中颖电子,0.14,64.75,,3.74,,2660.4,82.17,,04-27
1638,603178,圣龙股份,0.17,13.33,,5.98,,2510.73,11.85,,04-27
1639,000408,藏格控股,0.01,1066.67,,0.48,,2897.94,9820.44,,04-27
1649,603585,苏利股份,0.47,-12.96,,3.34,,4655.97,14.61,,04-27
1650,002658,雪迪龙,0.02,0.0,,0.72,,1246.92,9.48,,04-27
1651,002674,兴业科技,0.04,1068.75,,0.48,,1129.2,1362.18,,04-27
1652,300134,大富科技,-0.03,-175.0,,-0.38,,-2210.42,-192.51,,04-27
1653,600279,重庆港九,0.03,-18.14,,0.73,,2375.33,22.63,,04-27
1654,002730,电光科技,0.02,-33.33,,0.57,,486.72,10.45,,04-27
1655,300528,幸福蓝海,0.07,0.0,,1.2,,2221.45,35.2,,04-27
1656,002781,奇信股份,0.18,5.88,,1.31,,4009.74,1.96,,04-27
1657,002470,金正大,0.13,-50.0,,4.53,,41523.27,2.63,,04-27
1658,002799,环球印务,0.06,-25.0,,1.17,,607.81,-2.56,,04-27
1659,600421,仰帆控股,-0.0,-0.0,,,,-42.29,-5.25,,04-27
1660,002197,证通电子,0.01,0.0,,0.18,,501.37,37.06,,04-27
1661,002851,麦格米特,0.1,6.44,,1.76,,1515.68,18.26,,04-27
1662,300300,汉鼎宇佑,0.04,-33.05,,0.84,,1833.23,-19.8,,04-27
1663,603138,海量数据,0.09,8.24,,2.8,,631.52,21.38,,04-27
1664,002245,澳洋顺昌,0.07,63.09,,3.03,,6380.83,63.98,,04-27
1665,603189,网达软件,-0.01,-200.0,,-0.43,,-316.25,-233.31,,04-27
1666,603238,诺邦股份,0.08,-42.86,,1.58,,800.3,-34.5,,04-27
1667,600909,华安证券,0.05,0.0,,1.39,,16522.25,11.78,,04-27
1668,300058,蓝色光标,0.04,-33.33,,1.34,,8074.68,-25.48,,04-27
1669,300381,溢多利,0.03,-69.31,,0.58,,1103.2,4.02,,04-27
1670,600192,长城电工,0.01,-30.0,,0.15,,307.78,-30.27,,04-27
1671,002615,哈尔斯,0.13,160.0,,4.73,,3618.86,249.47,,04-27
1672,300075,数字政通,0.03,36.99,,0.79,,1110.63,32.47,,04-27
1673,600211,西藏药业,0.37,168.12,,7.87,,5413.39,169.96,,04-27
1674,300091,金通灵,0.04,-58.4,,2.42,,2173.93,7.44,,04-27
1675,000601,韶能股份,0.11,-23.1,,2.88,,12369.29,-23.12,,04-27
1676,002037,久联发展,0.02,-125.0,,0.32,,647.22,-125.62,,04-27
1677,000622,恒立实业,-0.01,-23.33,,-1.47,,-293.28,-24.06,,04-27
1678,300139,晓程科技,0.03,50.0,,0.53,,696.69,17.87,,04-27
1679,002695,煌上煌,0.07,-53.33,,2.2,,3527.0,85.88,,04-27
1680,002069,獐子岛,0.01,-152.0,,0.34,,368.52,-139.92,,04-27
1681,002395,双象股份,0.02,-46.17,,0.47,,390.27,-46.16,,04-27
1682,002411,必康股份,0.11,-41.59,,1.98,,16607.23,-28.67,,04-27
1683,603811,诚意药业,0.22,22.22,,4.93,,1417.52,23.75,,04-27
1684,601688,华泰证券,0.19,6.72,,1.56,,133016.27,6.71,,04-27
1685,300516,久之洋,0.19,-17.39,,1.94,,2289.21,9.47,,04-27
1686,300209,天泽信息,0.02,61.29,,0.29,,584.68,92.03,,04-27
1687,300225,金力泰,0.02,-37.36,,1.23,,1072.01,-37.35,,04-27
1688,002154,报喜鸟,0.01,0.0,,0.58,,1406.29,48.15,,04-27
1689,300584,海辰药业,0.11,22.4,,2.81,,785.75,49.75,,04-27
1690,603028,赛福天,0.04,-20.0,,1.3,,883.24,-10.79,,04-27
1691,600459,贵研铂业,0.11,83.33,,1.52,,2821.51,77.06,,04-27
1692,600089,特变电工,0.19,11.08,,2.62,,61443.91,10.92,,04-27
1693,300618,寒锐钴业,0.55,1000.0,,12.47,,4972.22,961.42,,04-27
1694,603108,润达医疗,0.1,-41.18,,1.56,,3319.53,110.25,,04-27
1695,300636,同和药业,0.22,-12.0,,4.3,,1337.91,-10.63,,04-27
1696,000420,吉林化纤,0.02,377.78,,1.24,,3381.31,1219.6,,04-27
1697,300353,东土科技,0.02,48.41,,0.47,,967.11,66.15,,04-27
1698,002588,史丹利,0.07,-73.08,,1.95,,7959.56,-47.42,,04-27
1699,600180,瑞茂通,0.26,87.98,,5.64,,26869.85,87.8,,04-27
1700,300064,豫金刚石,0.05,-1.06,,0.84,,5615.68,75.77,,04-27
1701,300386,飞天诚信,0.03,-35.41,,0.69,,1083.65,29.17,,04-27
1702,300080,易成新能,0.0,-34.78,,0.05,,151.44,-34.66,,04-27
1703,002010,传化智联,0.02,0.0,,0.55,,7571.76,4.2,,04-27
1704,300112,万讯自控,0.01,177.78,,0.46,,330.39,245.22,,04-27
1705,300434,金石东方,-0.04,-202.75,,-1.4,,-558.36,-326.09,,04-27
1706,300128,锦富技术,0.01,-120.59,,0.14,,266.6,-119.58,,04-27
1707,601177,杭齿前进,0.01,-77.78,,0.13,,208.12,-77.75,,04-27
1708,000628,高新发展,0.01,0.0,,0.32,,235.05,-1.19,,04-27
1709,002700,新疆浩源,0.05,-16.67,,2.52,,2296.69,-9.55,,04-27
1710,002079,苏州固锝,0.03,44.44,,1.28,,1880.63,42.72,,04-27
1711,600315,上海家化,0.16,-15.79,,2.04,,10827.96,-15.03,,04-27
1712,600332,白云山,0.3,-5.99,10.97,2.76,0.14,48466.21,18.41,,04-27
1713,300198,纳川股份,-0.01,-122.1,,-0.9,,-1416.79,-154.91,,04-27
1714,600755,厦门国贸,0.21,-8.7,,3.8,,42722.14,13.19,,04-27
1715,601928,凤凰传媒,0.11,17.14,,2.48,,29207.68,17.1,,04-27
1716,300555,路通视信,0.11,-38.89,,1.43,,862.82,-20.56,,04-27
1717,002464,金利科技,0.35,483.33,,4.24,,5064.7,442.2,,04-27
1718,300246,宝莱特,0.12,21.35,,3.62,,1710.74,21.34,,04-27
1719,002159,三特索道,-0.21,75.0,,-3.65,,-2950.14,76.32,,04-27
1720,000799,酒鬼酒,0.11,31.03,,1.97,,3702.88,31.0,,04-27
1721,000820,神雾节能,0.11,-252.78,,9.52,,7313.98,-452.79,,04-27
1722,300278,华昌达,0.07,0.0,,2.44,,3846.74,4.87,,04-27
1723,300606,金太阳,0.16,77.78,,4.71,,1432.21,125.86,,04-27
1724,002845,同兴达,0.53,167.85,,6.49,,4641.02,227.3,,04-27
1725,002207,*ST准油,0.26,-388.89,,16.75,,6261.84,-398.14,,04-27
1726,000151,中成股份,0.07,-8.21,,2.19,,2215.68,-8.23,,04-27
1727,002239,奥特佳,0.08,-2.38,,1.86,,9205.53,2.46,,04-27
1728,002593,日上集团,0.01,-66.67,,0.53,,782.88,23.35,,04-27
1729,600962,国投中鲁,0.01,-59.13,,0.27,,223.26,-59.0,,04-27
1730,600580,卧龙电气,0.03,-54.23,,0.67,,3420.46,-51.96,,04-27
1731,300391,康跃科技,0.01,62.03,,0.59,,212.64,60.67,,04-27
1732,300407,凯发电气,-0.13,333.33,,-4.1,,-3666.63,703.03,,04-27
1733,300117,嘉寓股份,0.02,-33.33,,0.77,,1089.5,2.87,,04-27
1734,002352,顺丰控股,0.18,500.0,,3.7,,77371.49,22279.8,,04-27
1735,601199,江南水务,0.05,-50.0,2.78,1.81,0.05,4664.43,2.56,,04-27
1736,300472,新元科技,0.02,0.0,,0.64,,247.45,77.9,,04-27
1737,300187,永清环保,0.02,-24.54,,1.07,,1598.14,127.32,,04-27
1738,601789,宁波建工,0.05,-49.15,,2.13,,5253.13,1.71,,04-27
1739,002437,誉衡药业,0.06,-73.76,,3.01,,12109.43,-20.7,,04-27
1740,002763,汇洁股份,0.46,35.29,,5.99,,10017.54,37.76,,04-27
1741,000729,燕京啤酒,0.02,11.76,,0.42,,5371.01,13.85,,04-27
1742,002132,恒星科技,0.02,0.0,,1.18,,3091.54,90.08,,04-27
1743,300543,朗科智能,0.38,-24.0,,3.66,,2280.89,0.56,,04-27
1744,002453,天马精化,-0.01,-200.0,,-0.83,,-734.38,-229.37,,04-27
1745,300560,中富通,0.12,-14.29,,1.88,,857.74,15.89,,04-27
1746,000786,北新建材,0.08,18.31,,1.43,,14966.92,48.52,,04-27
1747,300251,光线传媒,0.06,-57.14,,2.61,,18503.89,-12.99,,04-27
1748,603002,宏昌电子,0.02,10.29,,0.92,,951.54,13.74,,04-27
1749,000006,深振业A,0.08,112.43,,2.05,,10385.88,112.79,,04-27
1750,600796,钱江生化,0.01,-80.0,,0.68,,410.8,-70.14,,04-27
1751,300283,温州宏丰,0.01,0.0,,0.76,,430.21,4.92,,04-27
1752,000043,中航地产,-0.11,-51.17,,-1.89,,-7652.91,-51.16,,04-27
1753,002850,科达利,0.3,-20.77,,2.94,,4193.1,5.65,,04-27
1754,603090,宏盛股份,0.07,-36.36,,1.44,,658.67,-21.68,,04-27
1755,300315,掌趣科技,0.06,-25.0,,1.91,,16184.81,-26.88,,04-27
1756,300009,安科生物,0.09,29.82,,3.41,,4718.95,34.06,,04-27
1757,600867,通化东宝,0.15,7.14,,5.2,,21029.46,30.16,,04-27
1758,300331,苏大维格,0.05,108.33,,0.88,,1169.81,158.74,,04-27
1759,603188,亚邦股份,0.31,17.84,,5.03,,17877.02,17.81,,04-27
1760,600884,杉杉股份,0.07,-13.95,,1.01,,8341.62,101.23,,04-27
1761,300347,泰格医药,0.09,0.0,,2.63,,4338.24,7.89,,04-27
1762,000498,山东路桥,0.02,-1357.89,,0.74,,2682.47,-1375.28,,04-27
1763,600549,厦门钨业,0.12,535.08,,2.0,,13119.54,534.32,,04-27
1764,000949,新乡化纤,0.04,302.2,,1.28,,4601.74,390.61,,04-27
1765,600173,卧龙地产,0.04,64.94,,1.78,,3003.81,64.87,,04-27
1766,002309,中利集团,-0.39,-2050.0,,-4.52,,-25096.34,-2357.37,,04-27
1767,002630,华西能源,0.02,-48.0,,0.66,,1820.86,-48.01,,04-27
1768,300090,盛运环保,0.01,3.92,,0.13,,696.15,2.92,,04-27
1769,600619,海立股份,0.05,150.0,,1.18,,4741.26,198.59,,04-27
1770,002020,京新药业,0.12,-39.18,,3.05,,7363.9,21.66,,04-27
1771,002036,联创电子,0.02,0.0,,0.68,,1103.03,17.87,,04-27
1772,000620,新华联,0.04,0.0,,1.1,,6835.63,2.02,,04-27
1773,002052,同洲电子,0.0,-120.0,,0.16,,149.36,-116.44,,04-27
1774,601333,广深铁路,0.04,-13.04,,1.0,,28250.02,-13.5,,04-27
1775,603729,龙韵股份,-0.01,-84.38,12.24,-0.06,0.26,-46.94,-89.01,,04-27
1795,300030,阳普医疗,0.02,0.0,,0.63,,594.26,-17.58,,04-27
1796,603268,松发股份,0.08,-20.0,,1.2,,684.0,-23.55,,04-27
1797,600161,天坛生物,0.19,-19100.0,,4.45,,9958.07,-14829.87,,04-27
1798,300369,绿盟科技,-0.15,61.22,,-2.85,,-5402.17,61.86,,04-27
1799,300079,数码视讯,0.04,4.42,,1.39,,4872.3,4.22,,04-27
1800,300621,维业股份,0.09,12.5,,1.97,,965.09,18.53,,04-27
1801,600893,航发动力,-0.05,-0.0,,-0.58,,-9019.73,-11.2,,04-27
1802,603298,杭叉集团,0.19,-5.0,,3.62,,11815.09,10.19,,04-27
1803,000960,锡业股份,0.1,-1110.31,,1.82,,14426.09,-1103.41,,04-27
1804,002628,成都路桥,0.01,-1.0,,0.27,,729.9,-18.98,,04-27
1805,300088,长信科技,0.09,125.0,,2.76,,10507.75,138.75,,04-27
1806,300104,乐视网,0.06,0.0,,1.21,,12479.2,8.76,,04-27
1807,601069,西部黄金,0.08,66.93,,3.1,,5362.21,66.93,,04-27
1808,300426,唐德影视,0.02,-60.0,,0.88,,912.35,7.26,,04-27
1809,002339,积成电子,-0.13,44.44,,-3.39,,-5104.01,48.81,,04-27
1810,300120,经纬电材,0.03,587.5,,0.93,,562.96,582.35,,04-27
1811,002355,兴民智通,0.05,66.67,,1.23,,2504.9,54.66,,04-27
1812,002403,爱仕达,0.15,7.14,,2.5,,5336.5,20.6,,04-27
1813,002727,一心堂,0.19,-53.94,,3.82,,9726.3,-8.04,,04-27
1814,300201,海伦哲,0.0,-107.48,,0.12,,161.52,-118.77,,04-27
1815,600358,国旅联合,-0.01,-47.83,,-1.17,,-593.61,-48.68,,04-27
1816,000727,华东科技,-0.06,445.54,,-2.34,,-24954.79,993.8,,04-27
1817,300217,东方电热,0.01,-61.04,,0.63,,1145.43,9.02,,04-27
1818,300233,金城医药,0.18,12.5,,2.48,,5447.1,32.55,,04-27
1819,300558,贝达药业,0.19,-34.48,,3.85,,7554.97,-26.82,,04-27
1820,002813,路畅科技,0.12,-33.33,,1.77,,1186.33,-26.53,,04-27
1821,600794,保税科技,-0.01,-276.92,,-0.69,,-1398.77,-280.74,,04-27
1822,300265,通光线缆,0.04,-42.86,,1.28,,1204.86,-47.13,,04-27
1823,002499,科林环保,0.03,47.46,,0.7,,492.69,47.06,,04-27
1824,300281,金明精机,0.03,36.36,,0.84,,624.09,18.04,,04-27
1825,002848,高斯贝尔,0.03,-85.82,,0.67,,459.51,-84.24,,04-27
1826,600509,天富能源,0.15,66.67,,2.79,,13436.17,70.24,,04-27
1827,600865,百大集团,0.04,-48.72,4.64,0.8,-0.15,1520.57,-47.89,,04-27
1828,300329,海伦钢琴,0.04,11.48,,1.24,,1001.36,11.62,,04-27
1829,300023,宝德股份,0.01,-59.32,,0.43,,454.6,-59.43,,04-27
1830,300345,红宇新材,-0.01,-123.62,,-0.32,,-254.7,-122.73,,04-27
1831,600547,山东黄金,0.18,12.5,,2.09,,32741.46,48.04,,04-27
1832,300362,天翔环境,0.01,-51.93,,0.22,,377.68,48.99,,04-27
1833,002275,桂林三金,0.13,5.83,,3.09,,7602.54,5.89,,04-27
1834,000517,荣安地产,0.11,13600.0,,9.06,,34882.06,13199.24,,04-27
1835,300061,康耐特,0.1,150.0,,1.67,,5432.26,504.42,,04-27
1836,300077,国民技术,0.04,-20.0,,0.73,,2158.22,-17.39,,04-27
1837,300399,京天利,0.07,-22.22,,2.43,,1068.74,-21.12,,04-27
1838,002312,*ST三泰,-0.02,400.0,,-0.93,,-2853.9,772.22,,04-27
1839,002007,华兰生物,0.27,-17.07,,5.88,,25533.6,32.71,,04-27
1840,300431,暴风集团,-0.06,-700.0,,-1.86,,-1647.89,-585.32,,04-27
1841,002344,海宁皮城,0.07,-46.15,,1.24,,8872.84,-38.11,,04-27
1842,600249,两面针,-0.05,-41.35,,-1.36,,-2682.26,-41.42,,04-27
1843,300125,易世达,-0.11,-0.0,,-1.21,,-1242.39,0.02,,04-27
1844,000625,长安汽车,0.5,-12.28,,5.36,,240134.48,-10.16,,04-27
1845,300141,和顺电气,0.02,100.0,,0.61,,414.94,564.38,,04-27
1846,600287,江苏舜天,0.04,-11.78,,0.91,,1863.57,-11.92,,04-27
1847,300157,恒泰艾普,-0.01,-50.0,,-0.15,,-571.16,-47.67,,04-27
1848,300480,光力科技,0.01,0.0,,0.31,,149.26,24.18,,04-27
1849,002087,新野纺织,0.03,-10.79,,0.77,,2295.84,40.09,,04-27
1850,300496,中科创达,0.06,-80.45,,2.35,,2649.1,-18.97,,04-27
1851,300190,维尔利,0.08,33.33,,1.19,,3335.77,65.73,,04-27
1852,300513,恒泰实达,0.0,-104.5,,0.02,,13.03,-106.04,,04-27
1853,300206,理邦仪器,0.04,45.33,,2.1,,2548.42,322.53,,04-27
1854,002135,东南网架,0.04,100.0,,1.33,,3243.0,69.76,,04-27
1855,300547,川环科技,0.37,-6.04,,3.57,,2222.44,25.29,,04-27
1856,300563,神宇股份,0.17,-17.56,,3.24,,1396.91,9.91,,04-27
1857,002472,双环传动,0.07,-30.0,,1.51,,4599.82,35.35,,04-27
1858,002167,东方锆业,0.01,-150.0,,0.31,,331.3,-123.21,,04-27
1859,300581,晨曦航空,0.08,-26.87,,0.72,,375.06,-2.56,,04-27
1860,000009,中国宝安,0.02,-22.0,,0.75,,3347.2,11.06,,04-27
1861,002819,东方中科,-0.02,-203.83,,-0.01,,-246.18,-234.89,,04-27
1862,600800,天津磁卡,-0.03,50.0,,-2.4,,-1636.01,25.12,,04-27
1863,600069,银鸽投资,-0.02,-33.33,,-1.44,,-2885.48,-33.67,,04-27
1864,300598,诚迈科技,0.03,15.64,,0.74,,206.09,41.56,,04-27
1865,600455,博通股份,-0.04,-21.43,,-2.25,,-275.88,-20.6,,04-27
1866,002199,东晶电子,0.0,-104.81,,0.22,,100.62,-104.85,,04-27
1867,603099,长白山,-0.11,175.0,,-3.17,,-2809.04,135.26,,04-27
1868,300632,光莆股份,0.13,,,3.93,,1142.72,,,04-27
1869,600532,宏达矿业,-0.02,-66.67,,-0.01,,-962.1,-67.24,,04-27
1870,300044,赛为智能,0.05,73.5,,1.98,,1680.41,165.39,,04-27
1871,600919,江苏银行,0.26,0.0,,3.57,,298808.8,11.19,,04-27
1872,300367,东方网力,0.06,51.6,,1.57,,5228.77,59.71,,04-27
1873,002606,大连电瓷,0.15,36.36,,3.45,,2973.52,36.28,,04-26
1874,300404,博济医药,-0.02,-1933.33,,-0.69,,-293.15,-1908.5,,04-26
1875,300098,高新兴,0.07,10.32,,1.87,,7102.98,10.38,,04-26
1876,002654,万润科技,0.03,222.0,,1.1,,2636.57,217.84,,04-26
1877,002044,美年健康,-0.04,-63.64,,-3.25,,-10579.21,-18.03,,04-26
1878,603660,苏州科达,0.12,-3863.64,,2.7,,3105.98,-3884.29,,04-26
1879,002702,海欣食品,-0.01,-131.26,,-0.51,,-398.66,-131.27,,04-26
1880,300485,赛升药业,0.19,-24.0,,2.12,,4529.16,-23.04,,04-26
1881,603777,来伊份,0.31,3.33,,3.9,,7466.09,39.93,,04-26
1882,300195,长荣股份,0.12,20.0,,1.4,,4131.34,21.12,,04-26
1883,603868,飞科电器,0.46,24.32,,9.5,,20044.88,38.22,,04-26
1884,000739,普洛药业,0.04,28.18,,1.86,,4855.22,28.61,,04-26
1885,300552,万集科技,,,,0.06,,45.28,-98.0,,04-26
1886,002477,雏鹰农牧,0.04,-64.78,,2.18,,11329.27,5.82,,04-26
1887,300586,美联新材,0.1,-23.08,,1.72,,933.91,2.53,,04-26
1888,002493,荣盛石化,0.24,300.0,,4.78,,62088.13,311.47,,04-26
1889,300291,华录百纳,0.08,39.29,,1.0,,6374.21,60.08,,04-26
1890,300620,光库科技,0.15,-0.34,,4.74,,959.39,-0.34,,04-26
1891,002236,大华股份,0.1,42.86,,3.42,,28683.84,33.26,,04-26
1892,300355,蒙草生态,0.01,-125.0,,0.41,,1145.97,-157.05,,04-26
1893,603288,海天味业,0.36,20.0,,9.3,,97695.45,20.65,,04-26
1894,002590,万安科技,0.07,40.0,,2.0,,3466.36,54.98,,04-26
1895,300377,赢时胜,0.05,236.67,,0.58,,1488.92,821.22,,04-26
1896,002290,中科新材,0.05,66.67,,1.02,,1235.41,73.53,,04-26
1897,300087,荃银高科,0.01,42.37,,0.41,,268.6,43.78,,04-26
1898,002017,东信和平,0.03,6.3,,0.96,,876.07,6.44,,04-26
1899,300425,环能科技,-0.0,-110.09,,-0.05,,-64.59,-110.54,,04-26
1900,000636,风华高科,0.03,0.0,,0.6,,2718.91,-10.26,,04-26
1901,600674,川投能源,0.18,-12.29,,3.86,,80720.96,-12.3,,04-26
1902,300151,昌红科技,0.01,-20.0,,0.49,,399.72,-40.12,,04-26
1903,300167,迪威视讯,-0.01,-76.74,,-0.41,,-286.14,-77.76,,04-26
1904,300490,华自科技,0.03,-66.67,,1.18,,686.72,-20.15,,04-26
1905,603789,星光农机,0.07,-24.02,,1.35,,1447.05,-23.43,,04-26
1906,600317,营口港,0.03,57.32,,1.59,,16713.99,57.65,,04-26
1907,002726,龙大肉食,0.17,30.77,,4.28,,7731.97,39.93,,04-26
1908,300183,东软载波,0.11,-18.15,,1.87,,4765.75,-18.12,,04-26
1909,300507,苏奥传感,0.43,-2.27,,3.61,,2890.31,30.18,,04-26
1910,300523,辰安科技,-0.17,-440.0,,-1.68,,-1323.87,-566.33,,04-26
1911,603881,数据港,0.12,0.0,,3.55,,2399.86,26.72,,04-26
1912,300557,理工光科,-0.09,11.25,,-1.07,,-495.42,48.5,,04-26
1913,000782,美达股份,0.06,200.0,,2.7,,3207.06,295.77,,04-26
1914,300608,思特奇,-1.02,-15.0,,-13.61,,-5729.93,-5.4,,04-26
1915,000901,航天科技,0.05,161.5,,0.61,,2139.67,170.43,,04-26
1916,600131,岷江水电,0.01,-94.25,,0.24,,252.91,-94.22,,04-26
1917,300022,吉峰农机,0.0,-26.32,,0.21,,54.15,-26.62,,04-26
1918,300344,太空板业,-0.01,-78.14,,-0.37,,-226.2,-78.2,,04-26
1919,603227,雪峰科技,-0.04,216.67,,-0.93,,-2511.96,519.07,,04-26
1920,300180,华峰超纤,0.06,50.0,,1.0,,2650.55,73.42,,04-26
1921,300520,科大国创,-0.08,300.0,,-1.43,,-751.16,476.41,,04-26
1922,300229,拓尔思,-0.01,-336.36,,-0.3,,-491.41,-337.22,,04-26
1923,600771,广誉远,0.07,141.38,,1.41,,2425.0,199.66,,04-26
1924,300245,天玑科技,0.02,-2.1,,0.82,,624.52,-3.67,,04-26
1925,300571,平治信息,0.55,77.42,,8.37,,2187.83,138.91,,04-26
1926,600409,三友化工,0.28,299.28,,7.07,,51048.79,299.42,,04-26
1927,000798,中水渔业,-0.01,-44.68,,-0.66,,-415.71,-44.63,,04-26
1928,300261,雅本化学,0.03,24.32,,1.7,,1729.1,67.47,,04-26
1929,600807,天业股份,0.01,-200.0,,0.32,,606.73,-189.06,,04-26
1930,600463,空港股份,0.03,200.0,,0.57,,794.85,391.83,,04-26
1931,300309,吉艾科技,0.04,-300.0,,1.43,,2014.26,-285.48,,04-26
1932,002544,杰赛科技,0.03,34.0,,1.04,,1384.57,9.15,,04-26
1933,300325,德威新材,0.01,-66.67,,0.66,,981.04,-20.72,,04-26
1934,002238,天威视讯,0.09,-37.76,,1.94,,5275.13,-29.11,,04-26
1935,002254,泰和新材,0.05,66.67,,1.39,,2790.05,44.7,,04-26
1936,300357,我武生物,0.24,33.33,,5.66,,3820.77,34.17,,04-26
1937,300051,三五互联,0.04,0.0,,1.6,,1478.21,13.57,,04-26
1938,002287,奇正藏药,0.17,6.69,,3.92,,6931.3,6.65,,04-26
1939,300084,海默科技,-0.01,-66.81,,-0.16,,-292.06,-60.78,,04-26
1940,603578,三星新材,0.19,,,4.71,,1418.76,,,04-26
1941,300116,坚瑞沃能,0.21,,,3.19,,25359.78,-168130.26,,04-26
1942,002035,华帝股份,0.21,61.54,,4.35,,7714.09,60.88,,04-26
1943,300443,金雷风电,0.43,-7.42,,3.3,,5078.97,-2.06,,04-26
1944,300137,先河环保,0.04,32.07,,0.95,,1317.51,33.5,,04-26
1945,002051,中工国际,0.21,0.0,,2.74,,19832.45,21.36,,04-26
1946,300460,惠伦晶体,0.01,-50.0,,0.31,,209.33,-49.93,,04-26
1947,002372,伟星新材,0.11,-8.33,,2.98,,8323.73,17.74,,04-26
1948,002067,景兴纸业,0.12,-20.0,,3.88,,12989.93,-20.09,,04-26
1949,002388,新亚制程,0.02,1614.29,,1.63,,957.72,1573.1,,04-26
1950,002711,欧浦智网,0.07,-53.33,,3.05,,4766.43,-5.75,,04-26
1951,000688,建新矿业,0.08,758.43,,4.85,,8689.25,761.16,,04-26
1952,300185,通裕重工,0.01,-49.0,,0.33,,1652.37,37.83,,04-26
1953,300509,新美星,0.15,-51.61,,2.03,,1187.33,-35.96,,04-26
1954,300526,中潜股份,0.11,-21.43,,1.83,,911.34,3.56,,04-26
1955,300542,新晨科技,-0.03,50.0,,-0.52,,-294.01,181.54,,04-26
1956,002779,中坚科技,0.06,-45.45,,1.34,,828.56,-13.81,,04-26
1957,000757,浩物股份,0.03,50.0,,2.23,,1293.79,78.13,,04-26
1958,603001,奥康国际,0.28,1.03,,2.74,,11392.04,1.02,,04-26
1959,300577,开润股份,0.41,57.69,,5.02,,2755.96,112.8,,04-26
1960,300593,新雷能,0.04,-73.33,,1.07,,476.82,-64.38,,04-26
1961,002211,宏达新材,0.02,-432.88,,1.35,,1051.42,-432.25,,04-26
1962,002867,周大生,0.31,19.23,4.33,7.45,0.12,12469.66,20.32,,04-26
1963,603131,上海沪工,0.18,28.57,,2.88,,1815.71,67.09,,04-26
1964,002549,凯美特气,0.01,55.56,,0.59,,524.65,71.87,,04-26
1965,300008,天海防务,0.1,210.03,,1.26,,3678.04,370.96,,04-26
1966,300379,东方通,0.02,-21.6,,0.17,,311.44,-5.73,,04-26
1967,603336,宏辉果蔬,0.14,-6.67,,2.52,,1892.48,29.99,,04-26
1968,600986,科达股份,0.11,1000.0,,2.27,,9702.92,732.15,,04-26
1969,603528,多伦科技,0.1,-83.64,,1.45,,1990.47,-78.19,,04-26
1970,300105,龙源技术,-0.02,-66.67,,-0.47,,-900.51,-69.28,,04-26
1971,002019,亿帆医药,0.18,-41.94,,5.5,,19936.87,45.96,,04-26
1972,300427,红相电力,-0.02,-68.83,,-0.86,,-530.95,-7.85,,04-26
1973,002361,神剑股份,0.03,-62.0,,1.23,,2293.41,-20.32,,04-26
