date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-07-07,18.18,18.65,18.2,18.07,233363.34,-0.16,-0.87,18.52,18.408,17.973,320165.93,317285.29,369512.79,9.19
2017-07-06,18.57,18.77,18.36,18.2,245594.3,-0.29,-1.55,18.44,18.454,17.918,314056.78,341991.6,378767.27,9.67
2017-07-05,18.61,18.68,18.65,18.15,281395.81,-0.03,-0.16,18.402,18.512,17.859,321121.06,416732.86,396533.8,11.08
2017-07-04,18.69,18.96,18.68,18.4,333325.38,-0.03,-0.16,18.294,18.536,17.761,319841.66,458223.05,405634.85,13.13
2017-07-03,18.15,19.5,18.71,18.15,507150.81,0.91,5.11,18.24,18.385,17.621,316175.85,460793.24,401921.88,19.98
2017-06-30,17.95,18.14,17.8,17.68,202817.59,-0.37,-2.04,18.296,18.182,17.49,314404.65,429654.56,390654.89,7.99
2017-06-29,17.98,18.5,18.17,17.9,280915.69,0.06,0.33,18.468,18.091,17.398,369926.41,437820.03,394225.61,11.07
2017-06-28,18.17,18.41,18.11,17.65,274998.84,-0.3,-1.63,18.622,17.945,17.284,512344.66,429430.06,396791.98,10.83
2017-06-27,18.8,19.1,18.41,18.4,314996.31,-0.58,-3.05,18.778,17.813,17.261,596604.44,429093.02,399168.07,12.41
2017-06-26,18.49,19.28,18.99,18.03,498294.81,0.33,1.77,18.53,17.704,17.208,605410.63,427542.01,404843.45,19.63
2017-06-23,18.43,18.8,18.66,18.01,480426.41,-0.28,-1.48,18.068,17.537,17.125,544904.47,421740.3,400580.12,18.93
2017-06-22,18.9,19.54,18.94,18.56,993006.94,0.05,0.27,17.714,17.382,17.06,505713.64,415542.94,393267.57,39.12
2017-06-21,17.25,18.89,18.89,17.08,696297.75,1.72,10.02,17.268,17.205,16.955,346515.46,376334.74,363583.77,27.43
2017-06-20,16.73,17.5,17.17,16.73,359027.25,0.49,2.94,16.848,16.986,16.923,261581.59,353046.65,345670.17,14.14
2017-06-19,16.82,16.95,16.68,16.42,195764.0,-0.21,-1.24,16.878,16.856,17.034,249673.39,343050.52,350991.23,7.71
2017-06-16,16.75,17.43,16.89,16.7,284472.28,0.18,1.08,17.006,16.798,17.179,298576.13,351655.22,375751.74,11.21
2017-06-15,16.6,17.04,16.71,16.53,197016.02,-0.08,-0.48,17.05,16.704,17.421,325372.24,350631.2,408949.46,7.76
2017-06-14,17.42,17.42,16.79,16.7,271628.41,-0.53,-3.06,17.142,16.622,17.656,406154.01,364153.89,444184.0,10.7
2017-06-13,17.1,17.55,17.32,17.02,299486.25,0.0,0.0,17.124,16.708,17.83,444511.71,369243.12,465495.24,11.8
2017-06-12,16.8,17.65,17.32,16.6,440277.69,0.21,1.23,16.834,16.712,17.972,436427.65,382144.89,490581.66,17.34
2017-06-09,16.91,17.4,17.11,16.36,418452.84,-0.06,-0.35,16.59,16.712,18.099,404734.3,379419.93,499794.37,16.48
2017-06-08,16.62,17.98,17.17,16.5,600924.88,0.47,2.81,16.358,16.737,18.198,375890.16,370992.2,515079.62,23.67
2017-06-07,16.48,16.95,16.7,16.23,463416.88,0.83,5.23,16.102,16.704,18.326,322153.77,350832.79,515957.45,18.26
2017-06-06,15.9,16.01,15.87,15.44,259065.95,-0.23,-1.43,16.292,16.859,18.492,293974.54,338293.68,524161.63,10.21
2017-06-05,16.2,16.68,16.1,16.08,281810.97,0.15,0.94,16.59,17.212,18.811,327862.13,358931.93,561157.55,11.1
2017-06-02,15.78,16.24,15.95,15.31,274232.12,0.06,0.38,16.834,17.559,19.192,354105.56,399848.27,614001.73,10.8
2017-06-01,17.48,17.48,15.89,15.89,332242.91,-1.76,-9.97,17.116,18.138,19.473,366094.23,467267.71,648276.42,13.09
2017-05-31,17.6,17.8,17.65,17.01,322520.75,0.29,1.67,17.306,18.689,19.859,379511.82,524214.11,684038.3,12.7
2017-05-26,17.4,18.1,17.36,17.31,428503.88,0.04,0.23,17.426,18.951,20.082,382612.82,561747.36,710139.28,16.88
2017-05-25,17.05,17.8,17.32,16.38,413028.16,-0.04,-0.23,17.834,19.231,20.288,390001.74,599018.43,756622.48,16.27
2017-05-24,16.78,17.38,17.36,16.55,334175.47,0.53,3.15,18.284,19.485,20.537,445590.97,620168.82,796529.37,13.16
2017-05-23,18.31,18.67,16.84,16.61,399330.84,-1.41,-7.73,19.16,19.659,20.682,568441.19,659167.05,833770.48,15.73
2017-05-22,19.03,19.25,18.25,18.03,338025.75,-1.15,-5.93,20.072,19.948,20.762,668916.41,681082.12,851167.34,13.32
2017-05-19,19.0,19.76,19.4,18.61,465448.47,-0.17,-0.87,20.476,20.125,20.749,740881.89,710029.58,879632.7,18.34
2017-05-18,21.01,21.45,19.57,19.57,690974.31,-2.17,-9.98,20.628,20.409,20.72,808035.11,763383.17,891615.94,27.22
2017-05-17,21.15,22.36,21.74,20.81,948426.56,0.34,1.59,20.686,20.825,20.749,794746.66,828155.19,899137.23,37.36
2017-05-16,19.7,21.65,21.4,19.51,901706.94,1.13,5.58,20.158,20.808,20.704,749892.91,829285.13,903090.08,35.52
2017-05-15,19.82,20.89,20.27,19.71,697853.19,0.11,0.55,19.824,21.028,20.691,693247.82,843862.49,911365.03,27.49
2017-05-12,19.58,20.96,20.16,19.41,801214.56,0.3,1.51,19.774,21.213,20.708,679177.26,858531.19,934571.62,31.56
2017-05-11,18.95,20.0,19.86,18.29,624532.06,0.76,3.98,20.19,21.344,20.714,718731.23,914226.54,938407.97,24.6
2017-05-10,19.96,20.67,19.1,18.7,724157.81,-0.63,-3.19,20.964,21.588,20.643,861563.71,972889.93,973272.63,28.53
2017-05-09,19.21,19.88,19.73,18.61,618481.5,-0.29,-1.45,21.458,21.705,20.56,908677.34,1008373.9,939395.49,24.36
2017-05-08,22.24,22.42,20.02,20.02,627500.38,-2.22,-9.98,22.232,21.575,20.367,994477.15,1021252.56,922115.64,24.72
2017-05-05,23.1,23.34,22.24,21.6,998984.38,-1.49,-6.28,22.652,21.372,20.087,1037885.13,1049235.83,921940.44,39.35
2017-05-04,21.11,23.73,23.73,21.11,1338694.5,2.16,10.01,22.498,21.031,19.63,1109721.85,1019848.71,883084.75,52.73
2017-05-03,23.0,23.49,21.57,21.53,959725.94,-2.03,-8.6,22.212,20.673,19.04,1084216.15,970119.27,823415.59,37.81
2017-05-02,22.29,23.87,23.6,21.05,1047480.56,1.48,6.69,21.952,20.599,18.503,1108070.46,976895.04,777508.11,41.26
2017-04-28,21.24,22.48,22.12,20.89,844540.25,0.65,3.03,20.918,20.354,17.862,1048027.96,978867.56,728052.93,33.27
2017-04-27,22.81,24.27,21.47,21.35,1358168.0,-0.83,-3.72,20.092,20.202,17.316,1060586.52,1010612.05,687686.48,53.5
2017-04-26,19.8,22.3,22.3,19.66,1211166.0,2.03,10.02,19.564,20.083,16.811,929975.57,962589.41,621099.48,47.71
2017-04-25,18.75,20.27,20.27,18.48,1078997.5,1.84,9.98,19.134,19.697,16.263,856022.39,973655.34,562759.92,42.5
2017-04-24,17.66,19.09,18.43,17.61,747268.06,0.44,2.45,19.246,19.415,15.826,845719.62,870417.08,511278.64,29.44
2017-04-21,18.65,20.39,17.99,17.58,907333.06,-0.84,-4.46,19.79,19.158,15.482,909707.16,822978.71,476750.32,35.74
2017-04-20,20.0,20.38,18.83,18.37,705113.25,-1.32,-6.55,20.312,18.801,15.165,960637.57,794645.06,433410.36,27.78
2017-04-19,19.8,20.53,20.15,18.76,841400.06,-0.68,-3.27,20.602,18.229,14.812,995203.25,746320.8,400464.89,33.14
2017-04-18,20.71,22.98,20.83,20.4,1027483.69,-0.32,-1.51,20.26,17.406,14.396,1091288.29,676711.91,362128.74,40.48
2017-04-17,19.8,22.5,21.15,19.77,1067205.75,0.55,2.67,19.584,16.407,13.933,895114.54,578121.18,313112.26,42.04
2017-04-14,21.2,21.55,20.6,19.56,1161985.12,0.32,1.58,18.526,15.37,13.457,736250.26,477238.3,261971.5,45.77
2017-04-13,17.6,20.28,20.28,17.22,877941.62,1.84,9.98,17.29,14.43,13.0,628652.54,364760.9,205141.03,34.58
2017-04-12,17.38,19.2,18.44,16.88,1321825.25,0.99,5.67,15.856,13.539,12.562,497438.34,279609.56,163267.53,52.07
2017-04-11,17.45,17.45,17.45,17.45,46614.95,1.59,10.03,14.552,12.829,12.219,262135.53,151864.5,99282.64,1.84
2017-04-10,15.86,15.86,15.86,15.77,272884.38,1.44,9.99,13.23,12.237,11.919,261127.81,152140.2,97970.58,10.75
2017-04-07,13.5,14.42,14.42,13.24,623996.5,1.31,9.99,12.214,11.805,11.701,218226.34,130521.92,86038.56,24.58
2017-04-06,12.28,13.11,13.11,12.0,221870.64,1.19,9.98,11.57,11.528,11.561,100869.27,72175.67,56515.4,8.74
2017-04-05,11.92,11.92,11.92,11.76,145311.19,1.08,9.96,11.222,11.394,11.492,61780.77,54608.99,47778.63,5.72
2017-03-31,10.8,10.89,10.84,10.7,41576.35,0.06,0.56,11.106,11.386,11.482,41593.47,47545.57,42898.63,1.64
2017-03-30,11.27,11.27,10.78,10.75,58377.03,-0.42,-3.75,11.244,11.459,11.517,43152.59,48103.35,42442.54,2.3
2017-03-29,11.36,11.45,11.2,11.13,37211.12,-0.17,-1.5,11.396,11.544,11.555,42817.5,46704.7,41365.28,1.47
2017-03-28,11.33,11.45,11.37,11.32,26428.18,0.03,0.27,11.486,11.569,11.577,43482.07,45521.16,43447.87,1.04
2017-03-27,11.52,11.53,11.34,11.33,44374.65,-0.19,-1.65,11.566,11.585,11.582,47437.2,46925.5,43854.96,1.75
2017-03-24,11.46,11.54,11.53,11.33,49371.98,-0.01,-0.09,11.666,11.609,11.587,53497.67,46700.78,43273.44,1.94
2017-03-23,11.66,11.74,11.54,11.32,56701.58,-0.11,-0.94,11.674,11.601,11.585,53054.11,43800.95,43129.73,2.23
2017-03-22,11.67,11.72,11.65,11.53,40533.94,-0.12,-1.02,11.692,11.597,11.584,50591.89,41555.19,42605.01,1.6
2017-03-21,11.81,11.84,11.77,11.67,46203.83,-0.07,-0.59,11.652,11.593,11.584,47560.25,40855.13,43693.8,1.82
2017-03-20,11.48,11.88,11.84,11.48,74677.01,0.27,2.33,11.604,11.59,11.569,46413.8,40948.27,43223.46,2.94
2017-03-17,11.66,11.72,11.57,11.42,47154.17,-0.06,-0.52,11.552,11.577,11.546,39903.9,38251.69,41447.72,1.86
2017-03-16,11.47,11.65,11.63,11.43,44390.5,0.18,1.57,11.528,11.575,11.53,34547.8,36781.74,41125.14,1.75
2017-03-15,11.5,11.54,11.45,11.39,25375.72,-0.08,-0.69,11.502,11.565,11.523,32518.49,36025.86,40957.37,1.0
2017-03-14,11.63,11.72,11.53,11.49,40471.62,-0.05,-0.43,11.534,11.584,11.52,34150.02,41374.58,42028.3,1.59
2017-03-13,11.52,11.58,11.58,11.37,42127.47,0.13,1.14,11.576,11.578,11.522,35482.73,40784.42,42016.94,1.66
2017-03-10,11.5,11.54,11.45,11.42,20373.69,-0.05,-0.43,11.602,11.564,11.517,36599.48,39846.1,42612.4,0.8
2017-03-09,11.57,11.64,11.5,11.44,34243.97,-0.11,-0.95,11.622,11.569,11.525,39015.68,42458.5,46426.88,1.35
