date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-07-07,451.05,451.1,445.97,441.2,37796.47,-3.22,-0.72,454.874,466.331,468.261,44699.73,39966.06,38046.88,0.3
2017-07-06,458.11,460.2,455.98,450.6,42044.39,-4.15,-0.9,460.05,469.007,469.249,41625.87,39316.78,37728.59,0.33
2017-07-05,453.01,460.33,460.13,453.01,37540.32,8.21,1.82,463.456,470.684,469.665,40235.54,38936.57,37073.93,0.3
2017-07-04,458.96,460.0,451.92,449.0,56488.95,-8.45,-1.83,466.49,471.942,469.628,40273.22,39386.4,37138.63,0.45
2017-07-03,474.2,474.2,460.37,457.9,49628.53,-11.48,-2.43,472.926,473.38,469.473,34571.59,37188.04,35334.3,0.4
2017-06-30,471.51,474.16,471.85,467.8,22427.17,-1.16,-0.24,477.788,474.36,468.675,35232.4,36078.85,33814.94,0.18
2017-06-29,476.3,477.35,473.01,470.0,35092.72,-2.29,-0.48,477.964,473.438,467.448,37007.69,37169.32,33782.84,0.28
2017-06-28,484.09,484.09,475.3,473.0,37728.74,-8.8,-1.82,477.912,472.567,466.261,37637.61,38680.33,34058.44,0.3
2017-06-27,482.82,485.0,484.1,480.85,27980.78,-0.58,-0.12,477.394,472.476,464.643,38499.57,38284.31,34387.62,0.22
2017-06-26,473.01,485.0,484.68,472.0,52932.57,11.95,2.53,473.834,471.37,463.034,39804.49,37910.03,34357.91,0.42
2017-06-23,472.86,474.88,472.73,468.33,31303.62,-0.02,-0.0,470.932,470.19,461.33,36925.31,36127.69,33156.21,0.25
2017-06-22,473.02,477.93,472.75,471.2,38242.34,0.04,0.01,468.912,469.491,460.209,37330.95,36140.41,33602.33,0.3
2017-06-21,469.55,473.0,472.71,466.03,42038.54,6.41,1.38,467.222,468.647,459.282,39723.04,35211.28,34112.94,0.33
2017-06-20,473.0,474.88,466.3,465.66,34505.39,-3.87,-0.82,467.558,467.313,457.736,38069.06,34890.86,33777.08,0.27
2017-06-19,461.96,470.39,470.17,461.96,38536.68,7.54,1.63,468.906,465.565,456.462,36015.58,33480.57,33967.35,0.31
2017-06-16,461.5,467.49,462.63,461.26,33331.8,-1.67,-0.36,469.448,462.989,454.43,35330.07,31551.02,33255.56,0.27
