date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-07-07,7.24,7.32,7.28,7.19,211967.22,0.03,0.41,7.256,7.268,7.307,137041.31,135766.15,142833.38,0.39
2017-07-06,7.28,7.28,7.25,7.21,129350.64,-0.02,-0.28,7.248,7.268,7.313,116002.97,140623.58,144379.76,0.24
2017-07-05,7.24,7.29,7.27,7.21,127814.19,0.03,0.41,7.254,7.276,7.327,105973.61,147086.44,145583.85,0.23
2017-07-04,7.24,7.3,7.24,7.22,124459.48,0.0,0.0,7.256,7.289,7.344,105261.76,145271.93,151438.25,0.23
2017-07-03,7.22,7.25,7.24,7.21,91615.02,0.0,0.0,7.268,7.307,7.358,112698.71,144936.06,158425.31,0.17
2017-06-30,7.26,7.26,7.24,7.2,106775.53,-0.04,-0.55,7.28,7.323,7.377,134491.0,148826.79,160256.78,0.2
2017-06-29,7.27,7.31,7.28,7.26,79203.83,0.0,0.0,7.288,7.337,7.397,165244.2,151652.61,165008.65,0.15
2017-06-28,7.28,7.3,7.28,7.23,124254.94,-0.02,-0.27,7.298,7.343,7.419,188199.28,154075.13,171489.12,0.23
2017-06-27,7.3,7.34,7.3,7.26,161644.25,0.0,0.0,7.322,7.346,7.446,185282.09,151012.06,175825.69,0.3
2017-06-26,7.26,7.32,7.3,7.22,200576.44,0.02,0.28,7.346,7.347,7.475,177173.4,149228.4,181592.88,0.37
2017-06-23,7.3,7.3,7.28,7.14,260541.52,-0.05,-0.68,7.366,7.345,7.502,163162.57,149900.6,195180.74,0.48
2017-06-22,7.35,7.36,7.33,7.26,193979.23,-0.01,-0.14,7.386,7.358,7.526,138061.03,148135.93,205495.24,0.36
2017-06-21,7.45,7.47,7.4,7.36,109669.02,-0.02,-0.27,7.388,7.378,7.538,119950.98,144081.26,204765.71,0.2
2017-06-20,7.4,7.44,7.42,7.36,121100.81,0.02,0.27,7.37,7.398,7.551,116742.03,157604.58,205206.36,0.22
2017-06-19,7.37,7.41,7.4,7.36,130522.28,0.02,0.27,7.348,7.408,7.569,121283.39,171914.56,209751.53,0.24
2017-06-16,7.34,7.41,7.38,7.28,135033.8,0.04,0.55,7.324,7.431,7.581,136638.63,171686.77,214535.08,0.25
2017-06-15,7.31,7.35,7.34,7.28,103428.99,0.03,0.41,7.33,7.456,7.585,158210.83,178364.69,212551.94,0.19
2017-06-14,7.31,7.33,7.31,7.27,93624.29,0.0,0.0,7.368,7.494,7.595,168211.53,188903.11,213288.7,0.17
2017-06-13,7.28,7.33,7.31,7.24,143807.59,0.03,0.41,7.426,7.546,7.603,198467.12,200639.32,215497.8,0.26
2017-06-12,7.37,7.37,7.28,7.25,207298.48,-0.13,-1.75,7.468,7.603,7.607,222545.74,213957.35,211580.47,0.38
2017-06-09,7.51,7.55,7.41,7.36,242894.81,-0.12,-1.59,7.538,7.659,7.614,206734.9,240460.87,214786.95,0.45
2017-06-08,7.59,7.59,7.53,7.51,153432.48,-0.07,-0.92,7.582,7.694,7.61,198518.54,262854.54,208057.43,0.28
2017-06-07,7.5,7.61,7.6,7.47,244902.22,0.08,1.06,7.62,7.698,7.601,209594.69,265450.16,205315.12,0.45
2017-06-06,7.6,7.61,7.52,7.38,264200.69,-0.11,-1.44,7.666,7.704,7.592,202811.53,252808.15,203922.66,0.49
2017-06-05,7.62,7.69,7.63,7.6,128244.31,0.0,0.0,7.738,7.729,7.581,205368.97,247588.51,198136.03,0.24
2017-06-02,7.66,7.71,7.63,7.54,201813.02,-0.09,-1.17,7.78,7.73,7.564,274186.84,257383.4,198387.63,0.37
2017-06-01,7.77,7.81,7.72,7.64,208813.2,-0.11,-1.41,7.806,7.714,7.546,327190.54,246739.18,193249.54,0.38
2017-05-31,7.85,7.9,7.83,7.76,210986.44,-0.05,-0.64,7.776,7.695,7.525,321305.64,237674.3,189317.94,0.39
2017-05-26,7.75,7.9,7.88,7.7,276987.88,0.04,0.51,7.742,7.66,7.492,302804.77,230356.28,185416.31,0.51
